Tag_name,OriginTag_name,OriginTagLocalization_full_name_PL,OriginTagLocalization_full_name_EN,OriginTagLocalization_short_name_PL,OriginTagLocalization_short_name_EN,OriginInfoCategory_name,OriginInfoCategory_order,OriginInfoCategoryLocalization_full_name_PL,OriginInfoCategoryLocalization_full_name_EN,OriginInfoValue_value,OriginInfoValue_order,OriginInfoValueLocalization_full_value_PL,OriginInfoValueLocalization_full_value_EN
ONTAK2013,ontak,Obóz Naukowo-Treningowy im. Antoniego Kreczmara,POI Training Camp,ontak,ontak,year,1,Rok,Year,2013,-2013,2013,2013
ONTAK2012,ontak,Obóz Naukowo-Treningowy im. Antoniego Kreczmara,POI Training Camp,ontak,ontak,year,1,Rok,Year,2012,-2012,2012,2012
ONTAK2011,ontak,Obóz Naukowo-Treningowy im. Antoniego Kreczmara,POI Training Camp,ontak,ontak,year,1,Rok,Year,2011,-2011,2011,2011
ONTAK2010,ontak,Obóz Naukowo-Treningowy im. Antoniego Kreczmara,POI Training Camp,ontak,ontak,year,1,Rok,Year,2010,-2010,2010,2010
ONTAK2009,ontak,Obóz Naukowo-Treningowy im. Antoniego Kreczmara,POI Training Camp,ontak,ontak,year,1,Rok,Year,2009,-2009,2009,2009
ONTAK2008,ontak,Obóz Naukowo-Treningowy im. Antoniego Kreczmara,POI Training Camp,ontak,ontak,year,1,Rok,Year,2008,-2008,2008,2008
ONTAK2007,ontak,Obóz Naukowo-Treningowy im. Antoniego Kreczmara,POI Training Camp,ontak,ontak,year,1,Rok,Year,2007,-2007,2007,2007
AMPPZ2014,amppz,Akademickie Mistrzostwa Polski w Programowaniu Zespołowym,Polish Collegiate Programming Contest,amppz,amppz,year,1,Rok,Year,2014,-2014,2014,2014
AMPPZ2013,amppz,Akademickie Mistrzostwa Polski w Programowaniu Zespołowym,Polish Collegiate Programming Contest,amppz,amppz,year,1,Rok,Year,2013,-2013,2013,2013
AMPPZ2012,amppz,Akademickie Mistrzostwa Polski w Programowaniu Zespołowym,Polish Collegiate Programming Contest,amppz,amppz,year,1,Rok,Year,2012,-2012,2012,2012
AMPPZ2011,amppz,Akademickie Mistrzostwa Polski w Programowaniu Zespołowym,Polish Collegiate Programming Contest,amppz,amppz,year,1,Rok,Year,2011,-2011,2011,2011
BOI2015,boi,Bałtycka Olimpiada Informatyczna,Baltic Olympiad in Informatics,boi,boi,year,1,Rok,Year,2015,-2015,2015,2015
BOI2008,boi,Bałtycka Olimpiada Informatyczna,Baltic Olympiad in Informatics,boi,boi,year,1,Rok,Year,2008,-2008,2008,2008
ILOCAMP11,ilocamp,Obóz Naukowy ILOCAMP,ILOCAMP Science Camp,ilocamp,ilocamp,year,1,Rok,Year,2011,-2011,2011,2011
SERWY2010,proserwy,Obóz Naukowy PROSERWY,PROSERWY Science Camp,proserwy,proserwy,year,1,Rok,Year,2010,-2010,2010,2010
